,region,type,trend_min,trend_max,margin
23,Spokane,organic,1.6413386960163314,3.6519532369902223,2.010614540973891
1,California,organic,1.589065394692033,2.859443732901834,1.270378338209801
21,Seattle,organic,1.5251393203984611,2.2612649472527653,0.7361256268543042
15,Midsouth,organic,1.581896642618934,2.3063179964303138,0.7244213538113797
12,Indianapolis,organic,0.9963087761449547,1.6355524109813053,0.6392436348363506
9,GreatLakes,organic,1.4393042568340408,2.0196027190821844,0.5802984622481435
2,Charlotte,organic,1.9133785141703543,2.191506146714674,0.2781276325443198
19,RichmondNorfolk,organic,1.4647774102536293,1.578736387097691,0.11395897684406164
16,Orlando,organic,1.7885180019187743,1.8551897037974445,0.06667170187867022
7,GrandRapids,conventional,1.0132827209850388,2.7715477366185155,1.7582650156334767
3,Chicago,conventional,1.0672823300600607,2.742093933591672,1.6748116035316114
20,SanDiego,conventional,0.9649281655546766,2.1844364062087975,1.219508240654121
13,LosAngeles,conventional,0.8901414703848086,2.090576706950962,1.2004352365661535
0,California,conventional,1.0209341271641748,2.0501090249696996,1.0291748978055248
8,GreatLakes,conventional,1.0367390535828565,1.9293038226700765,0.89256476908722
24,West,conventional,0.9004458086072331,1.7803127079294951,0.879866899322262
14,Louisville,conventional,0.9882048437253952,1.6333476315029818,0.6451427877775866
6,Detroit,conventional,1.0515337583275486,1.6942318352557995,0.6426980769282509
5,DallasFtWorth,conventional,0.7649834321471763,1.2995674166057711,0.5345839844585948
17,PhoenixTucson,conventional,0.6366572291861419,1.1665681251277726,0.5299108959416308
25,WestTexNewMexico,conventional,0.7529581016803917,1.2579752582800598,0.5050171565996682
22,SouthCentral,conventional,0.8047031980957632,1.2741055941618022,0.46940239606603906
4,Columbus,conventional,1.0053809136295362,1.4743550370529366,0.4689741234234004
11,Indianapolis,conventional,1.0920544676526764,1.4899607000713415,0.3979062324186651
10,Houston,conventional,0.8076104042382055,1.0728840514903577,0.2652736472521522
18,Pittsburgh,conventional,1.2372771857640068,1.3438376625759751,0.10656047681196834
